i,Fecha de publicación el DOF,Vigente a partir de:,ZLFN1,Resto del país,A,B,C
0,23 de diciembre de 2019,1o. enero 2020,185.56,123.22,,,
1,26 de diciembre de 2018,1o. enero 2019,176.72,102.68,,,
2,21 de diciembre de 2017,1o. enero 2018,,,88.36,,
3,24 de noviembre de 2017,1o. diciembre 2017,,,88.36,,
4,19 de diciembre de 2016,1o. enero 2017,,,80.04,,
5,18 de diciembre de 2015,1o. enero 2016,,,73.04,,
6,30 de septiembre de 2015,1o. octubre de 2015,,,70.1,,
7,30 de marzo de 2015,1o. abril 2015,,,70.1,68.28,
8,29 de diciembre de 2014,1o. enero 2015,,,70.1,66.45,
9,26 de diciembre de 2013,1o. enero 2014,,,67.29,63.77,
10,21 de diciembre de 2012,1o. enero 2013,,,64.76,61.38,
11,26 de noviembre de 2012,27 de noviembre 2012,,,62.33,59.08,
12,19 de diciembre de 2011,1o. enero 2012,,,62.33,60.57,59.08
13,23 de diciembre de 2010,1o. enero 2011,,,59.82,58.13,56.7
14,23 de diciembre de 2009,1o. enero 2010,,,57.46,55.84,54.47
15,23 de diciembre de 2008,1o. enero 2009,,,54.8,53.26,51.95
16,27 de diciembre de 2007,1o. enero 2008,,,52.59,50.96,49.5
17,29 de diciembre de 2006,1o. enero 2007,,,50.57,49,47.6
18,26 de diciembre de 2005,1o. enero 2006,,,48.67,47.16,45.81
19,22 de diciembre de 2004,1° enero 2005,,,46.8,45.35,44.05
20,23 de diciembre de 2003,1º. enero 2004,,,45.24,43.73,42.11
21,26 de diciembre de 2002,1º. enero 2003,,,43.65,41.85,40.3
22,29 de diciembre de 2001,1º. enero 2002,,,42.15,40.1,38.3
23,27 de diciembre de 2000,1º. enero 2001,,,40.35,37.95,35.85
24,31 de diciembre de 1999,1º. enero 2000,,,37.9,35.1,32.7
25,2 de diciembre de 1998,1o. enero 1999,,,34.45,31.9,29.7
26,23 de diciembre de 1997,1o. enero 1998,,,30.2,28,26
27,2 de diciembre de 1996,1o. enero 1997,,,26.45,24.5,22.5
28,2 de diciembre de 1996,3 de diciembre 1996,,,26.45,24.5,22.5
29,28 de marzo de 1996,1o. abril 1996,,,22.6,20.95,19.05
30,2 de diciembre de 1995,1o. enero 1996,,,20.15,18.7,17
31,2 de diciembre 1995,4 de diciembre 1995,,,20.15,18.7,17
32,31 de marzo 1995,1o. abril 1995,,,18.3,17,15.44
33,21 de diciembre 1994,1o. enero 1995,,,16.34,15.18,13.79
34,13 de diciembre 1993,1o. enero 1994,,,15.27,14.19,12.89
35,7 de diciembre 1992,1o. enero 1993,,,14.27,13.26,12.05
36,4 de diciembre 1991,1o. enero 1992,,,13330,12320,11115
37,11 de noviembre 1991,11 de noviembre 1991,,,13330,12320,11115
38,24 de diciembre 1990,1o. enero 1991,,,11900,11000,9920
39,15 de noviembre 1990,16 de noviembre 1990,,,11900,11000,9920
40,4 de diciembre 1989,1o. enero 1990,,,10080,9325,8405
41,4 de diciembre 1989,4 de diciembre 1989,,,10080,9325,8405
42,26 de junio de 1989,1o. julio 1989,,,9160,8475,7640
43,14 de diciembre 1988,1o. enero 1989,,,8640,7995,7205
44,29 de febrero 1988,1o. marzo 1988,,,8000,7405,6670
